Postcode_Sector,Total Dwellings,EUVSH Total,Market Total,Percent Vacant,EUVSH_Avg,Market_Avg,Value_Gap,Total_Value_Locked,Discount_Ratio,IMD_Decile,Dwelling_Count,Project_Count,Total_Site_Area
M1 7,176,11602000,29005000,0.0017543860000000001,65920.45454545454,164801.13636363635,98880.68181818181,17403000,0.4,4.276190476190476,3443.0,7.0,4.759652
M12 5,170,12511200,31278000,0.0,73595.29411764706,183988.23529411765,110392.94117647059,18766800,0.4,1.0029411764705882,173.0,3.0,1.584453
M13 0,18,1692000,4230000,0.0,94000.0,235000.0,141000.0,2538000,0.4,1.4960212201591512,0.0,0.0,0.0
M13 9,963,78472200,196180500,0.002074688833333333,81487.22741433022,203718.06853582556,122230.84112149534,117708300,0.39999999999999997,2.3608815426997247,3812.0,7.0,18.740064999999998
M4 1,42,3160000,7900000,0.0,75238.09523809524,188095.2380952381,112857.14285714287,4740000,0.39999999999999997,4.528301886792453,310.0,2.0,0.6917669999999999
M4 5,313,18406400,46016000,0.039020979,58806.38977635783,147015.97444089456,88209.58466453673,27609600,0.4,4.669014084507042,0.0,0.0,0.0
M4 7,142,10033600,25084000,0.006097561,70659.15492957746,176647.88732394367,105988.7323943662,15050400,0.39999999999999997,4.201612903225806,5594.0,6.0,23.573431
M40 0,1274,70224400,175561000,0.007093945799999999,55121.19309262167,137802.98273155416,82681.7896389325,105336600,0.4,2.2804878048780486,15.0,1.0,0.366315
M40 2,1400,75094400,187736000,0.0283255284,53638.857142857145,134097.14285714287,80458.28571428572,112641600,0.39999999999999997,1.0,1214.0,3.0,20.566413
M40 3,895,50772600,126931500,0.01155476275,56729.16201117318,141822.90502793295,85093.74301675978,76158900,0.4,3.062176165803109,0.0,0.0,0.0
M40 7,1415,91860200,229650500,0.003745091,64918.86925795053,162297.17314487632,97378.30388692579,137790300,0.4,1.2124645892351276,96.0,3.0,1.764998
M40 8,1170,57204600,143011500,0.00804221525,48892.820512820515,122232.05128205128,73339.23076923077,85806900,0.4,1.0,57.0,2.0,0.39122500000000004
M8 0,508,23155200,57888000,0.0042194093333333335,45581.10236220472,113952.75590551182,68371.6535433071,34732800,0.39999999999999997,1.2169117647058822,6.0,1.0,0.083544
M8 6,616,27470200,68675500,0.01177065,44594.48051948052,111486.2012987013,66891.72077922078,41205300,0.4,1.6336996336996337,0.0,0.0,0.0
M9 0,1365,65080400,162701000,0.01395091375,47677.94871794872,119194.8717948718,71516.92307692308,97620600,0.4,1.3970588235294117,0.0,0.0,0.0
M9 5,2386,127919872,319799680,0.013311741,53612.6873428332,134031.71835708298,80419.03101424978,191879808,0.4,1.0169491525423728,94.0,6.0,1.5611620000000002
M9 7,1302,52422800,131057000,0.025219781499999996,40263.287250384026,100658.21812596006,60394.930875576036,78634200,0.4,1.7578125,167.0,3.0,3.235725
M9 8,684,34950400,87376000,0.010315786,51097.07602339181,127742.69005847954,76645.61403508772,52425600,0.39999999999999997,1.5746268656716418,672.0,6.0,8.242207
